Timestamp,Voltage (V),Current (A),Power (W),Energy (kWh),Status
2025-11-11 07:28:15,0.0,0.0,0.0,0.0,OFF
2025-11-11 07:28:20,240.37,0.864,207.7,5.8e-05,ON
2025-11-11 07:28:25,240.93,0.918,221.1,0.000119,ON
2025-11-11 07:28:30,233.46,0.908,212.0,0.000178,ON
2025-11-11 07:28:35,241.45,1.098,265.0,0.000252,ON
2025-11-11 07:28:40,242.84,0.844,205.0,0.000309,ON
2025-11-11 07:28:45,241.71,1.078,260.5,0.000381,ON
2025-11-11 07:28:50,234.18,0.945,221.3,0.000442,ON
2025-11-11 07:28:55,239.25,1.035,247.6,0.000511,ON
2025-11-11 07:29:00,242.98,1.067,259.4,0.000583,ON
2025-11-11 07:29:05,234.83,0.838,196.9,0.000638,ON
2025-11-11 07:29:10,233.34,0.961,224.2,0.0007,ON
2025-11-11 07:29:15,235.42,0.757,178.1,0.00075,ON
2025-11-11 07:29:20,242.65,0.885,214.8,0.000809,ON
2025-11-11 07:29:25,235.31,0.814,191.6,0.000863,ON
2025-11-11 07:29:30,237.32,0.823,195.3,0.000917,ON
2025-11-11 07:29:35,240.19,0.997,239.6,0.000983,ON
2025-11-11 07:29:40,234.74,0.71,166.6,0.00103,ON
2025-11-11 07:29:45,234.42,0.708,165.9,0.001076,ON
2025-11-11 07:29:50,236.53,0.882,208.6,0.001134,ON
2025-11-11 07:29:55,236.81,0.816,193.2,0.001187,ON
2025-11-11 07:30:00,241.51,1.061,256.2,0.001259,ON
2025-11-11 07:30:05,237.16,0.904,214.4,0.001318,ON
2025-11-11 07:30:10,235.75,0.706,166.5,0.001364,ON
2025-11-11 07:30:15,242.11,0.756,183.1,0.001415,ON
2025-11-11 07:30:20,240.81,0.796,191.7,0.001468,ON
2025-11-11 07:30:25,242.37,0.807,195.7,0.001523,ON
2025-11-11 07:30:30,240.29,0.703,168.9,0.00157,ON
2025-11-11 07:30:35,238.83,0.75,179.2,0.001619,ON
2025-11-11 07:30:40,236.91,0.977,231.4,0.001684,ON
2025-11-11 07:30:45,238.45,0.946,225.6,0.001746,ON
2025-11-11 07:30:50,233.53,0.839,196.0,0.001801,ON
2025-11-11 07:30:55,240.96,0.915,220.5,0.001862,ON
2025-11-11 07:31:00,235.25,0.746,175.5,0.001911,ON
2025-11-11 07:31:05,237.96,0.897,213.5,0.00197,ON
2025-11-11 07:31:10,235.77,1.043,245.8,0.002038,ON
2025-11-11 07:31:15,240.82,0.928,223.5,0.002101,ON
2025-11-11 07:31:20,241.51,0.987,238.4,0.002167,ON
2025-11-11 07:31:25,234.29,0.958,224.4,0.002229,ON
2025-11-11 07:31:30,233.11,0.891,207.8,0.002287,ON
2025-11-11 07:31:35,238.66,1.067,254.8,0.002358,ON
2025-11-11 07:31:40,239.34,0.855,204.7,0.002414,ON
2025-11-11 07:31:45,234.88,0.815,191.4,0.002468,ON
2025-11-11 07:31:50,240.7,0.776,186.7,0.002519,ON
2025-11-11 07:31:55,240.23,1.084,260.5,0.002592,ON
2025-11-11 07:32:00,242.92,0.852,206.9,0.002649,ON
2025-11-11 07:32:05,0.0,0.0,0.0,0.002649,OFF
2025-11-11 07:32:10,235.66,0.777,183.1,0.0027,ON
2025-11-11 07:32:15,237.82,0.972,231.2,0.002764,ON
2025-11-11 07:32:20,235.72,0.73,172.1,0.002812,ON
2025-11-11 07:32:25,239.71,0.925,221.7,0.002874,ON
2025-11-11 07:32:30,236.79,0.902,213.6,0.002933,ON
2025-11-11 07:32:35,234.1,1.077,252.2,0.003003,ON
2025-11-11 07:32:40,239.21,1.053,251.8,0.003073,ON
2025-11-11 07:32:45,240.05,0.76,182.3,0.003124,ON
2025-11-11 07:32:50,238.96,0.958,228.9,0.003187,ON
2025-11-11 07:32:55,233.75,0.954,223.0,0.003249,ON
2025-11-11 07:33:00,234.95,0.799,187.7,0.003301,ON
2025-11-11 07:33:05,242.92,0.816,198.2,0.003357,ON
2025-11-11 07:33:10,235.02,1.075,252.7,0.003427,ON
2025-11-11 07:33:15,233.78,0.865,202.2,0.003483,ON
2025-11-11 07:33:20,233.56,0.939,219.3,0.003544,ON
2025-11-11 07:33:25,235.28,0.983,231.3,0.003608,ON
2025-11-11 07:33:30,234.75,0.86,202.0,0.003664,ON
2025-11-11 07:33:35,240.65,0.703,169.1,0.003711,ON
2025-11-11 07:33:40,0.0,0.0,0.0,0.003711,OFF
2025-11-11 07:33:45,0.0,0.0,0.0,0.003711,OFF
2025-11-11 07:33:50,240.2,1.044,250.8,0.003781,ON
2025-11-11 07:33:55,242.8,0.996,241.8,0.003848,ON
2025-11-11 07:34:00,241.94,1.057,255.7,0.003919,ON
2025-11-11 07:34:05,237.31,0.874,207.4,0.003977,ON
2025-11-11 07:34:10,240.79,0.929,223.8,0.004039,ON
2025-11-11 07:34:15,238.05,1.041,247.7,0.004108,ON
2025-11-11 07:34:20,234.35,0.864,202.4,0.004164,ON
2025-11-11 07:34:25,240.72,0.817,196.7,0.004218,ON
2025-11-11 07:34:30,237.52,0.908,215.7,0.004278,ON
2025-11-11 07:34:35,239.83,0.857,205.6,0.004335,ON
2025-11-11 07:34:40,239.47,1.071,256.5,0.004407,ON
2025-11-11 07:34:45,239.24,0.771,184.4,0.004458,ON
2025-11-11 07:34:50,234.41,1.091,255.7,0.004529,ON
2025-11-11 07:34:55,237.22,0.95,225.2,0.004591,ON
2025-11-11 07:35:00,235.0,0.982,230.7,0.004656,ON
2025-11-11 07:35:05,235.86,0.849,200.2,0.004711,ON
2025-11-11 07:35:10,236.26,0.973,229.9,0.004775,ON
2025-11-11 07:35:15,236.43,0.959,226.8,0.004838,ON
2025-11-11 07:35:20,241.4,0.992,239.4,0.004905,ON
2025-11-11 07:35:25,237.83,1.055,251.0,0.004974,ON
2025-11-11 07:35:30,241.62,0.8,193.4,0.005028,ON
2025-11-11 07:35:35,0.0,0.0,0.0,0.005028,OFF
2025-11-11 07:35:40,234.65,0.958,224.8,0.00509,ON
2025-11-11 07:35:45,238.24,0.802,191.0,0.005143,ON
2025-11-11 07:35:50,235.8,0.86,202.8,0.0052,ON
2025-11-11 07:35:55,233.99,0.758,177.4,0.005249,ON
2025-11-11 07:36:00,239.08,0.959,229.4,0.005313,ON
2025-11-11 07:36:05,233.54,0.976,228.0,0.005376,ON
2025-11-11 07:36:10,233.95,0.723,169.3,0.005423,ON
2025-11-11 07:36:15,239.05,0.725,173.3,0.005471,ON
2025-11-11 07:36:20,238.66,0.933,222.8,0.005533,ON
2025-11-11 07:36:25,242.69,1.09,264.6,0.005607,ON
2025-11-11 07:36:30,235.18,0.917,215.6,0.005667,ON
